cd_ref	famille	nom_vern_invmmed	nom_taxon_invmed	nom_valide	date_intro	origine	milieux	categorie_paca	
"86167"	"Poaceae"	"Barbon à noeuds velus, Barbon andropogon, Barbon faux-saccharum, Bothriochloa à nœuds barbus"	"Bothriochloa barbinodis (Lag.) Herter, 1940"	"Bothriochloa barbinodis (Lag.) Herter, 1940"	"fin-XXe (1970s)"	"Amérique"	"Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"610708"	"Poaceae"	"Barbon de Virginie, Andropogon de Virginie"	"Andropogon virginicus L., 1753"	"Andropogon virginicus L., 1753"	"mi-XXe (1960)"	"Amérique du Nord"	"Dunes côtières et plages de sable ; Milieux anthropiques ; Prairies humides ; Prairies, pelouses sèches et garrigues"	"Prévention"	
"160257"	"Apiaceae"	"Berce de Perse"	"Heracleum persicum Desf. ex Fisch., 1841"	"Heracleum persicum Desf. ex Fisch., 1841"	"déb-XIXe (1829, GB)"	"Asie"	"Berges et ripisylves ; Milieux anthropiques ; Prairies humides"	"Prévention"	
"611144"	"Apiaceae"	"Berce de Sosnowsky"	"Heracleum sosnowskyi Manden., 1944"	"Heracleum sosnowskyi Manden., 1944"	"mi-XXe (1946, RU)"	"Europe (sans bassin méditerranéen)"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques ; Prairies humides"	"Prévention"	
"101286"	"Apiaceae"	"Berce du Caucase"	"Heracleum mantegazzianum Sommier & Levier, 1895"	"Heracleum mantegazzianum Sommier & Levier, 1895"	"XIXe"	"Europe (sans bassin méditerranéen)"	"Berges et ripisylves ; Milieux anthropiques ; Prairies humides"	"Emergente"	
"85981"	"Asteraceae"	"Bident à folioles subalternes"	"Bidens subalternans DC., 1836"	"Bidens subalternans DC., 1836"	"Non connue"	"Amérique du Sud"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"85957"	"Asteraceae"	"Bident feuillu, Bident feuillé, Bident à fruits noirs"	"Bidens frondosa L., 1753"	"Bidens frondosa L., 1753"	"déb-XXe (1920)"	"Amérique"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques ; Prairies humides"	"Majeure"	
"631143"	"Bignoniaceae"	"Bignone, Jasmin de Virginie, Jasmin trompette"	"Campsis radicans (L.) Seem. ex Bureau, 1864"	"Campsis radicans (L.) Seem. ex Bureau, 1864"	""	"Amérique du Nord"	""	"Emergente"	
"94473"	"Poaceae"	"Blé velu"	"Dasypyrum villosum (L.) P.Candargy, 1901"	"Dasypyrum villosum (L.) P.Candargy, 1901"	""	"Europe (sans bassin méditerranéen)"	"Milieux agricoles ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Modérée"	
"112712"	"Apocynaceae"	"Bourreau-des-arbres, Périploca de Grèce, Périploque de Grèce"	"Periploca graeca L., 1753"	"Periploca graeca L., 1753"	"fin-XXe (1991)"	"Europe de l'Est et Asie centrale"	"Berges et ripisylves ; Dunes côtières et plages de sable"	"Emergente"	
"90192"	"Poaceae"	"Brome purgatif, Brome faux uniola"	"Ceratochloa cathartica (Vahl) Herter, 1940 [syn. Bromus catharticus Vahl, 1791]"	"Ceratochloa cathartica (Vahl) Herter, 1940"	"déb-XXe (1914)"	"Amérique du Sud"	"Berges et ripisylves ; Côtes rocheuses et falaises ; Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"86513"	"Poaceae"	"Brome sans arêtes, Brome inerme"	"Bromopsis inermis (Leyss.) Holub, 1973 [syn. Bromus inermis Leyss., 1761]"	"Bromopsis inermis (Leyss.) Holub, 1973"	""	"Europe (sans bassin méditerranéen)"	"Milieux anthropiques ; Prairies humides ; Prairies, pelouses sèches et garrigues"	"Majeure"	
"86869"	"Scrophulariaceae"	"Buddleia, Buddleja du père David, Arbre à papillon, Arbre aux papillons"	"Buddleja davidii Franch., 1887"	"Buddleja davidii Franch., 1887"	"fin-XIXe (1895)"	"Asie"	"Berges et ripisylves ; Milieux anthropiques"	"Majeure"	
"116485"	"Rosaceae"	"Buisson ardent, Arbre de Moïse"	"Pyracantha coccinea M.Roem., 1847 [nom. cons.] [syn. Pyracantha pauciflora (Poir.) M.Roem., 1847 ; Pyracantha coccinea M.Roem., 1847]"	"Pyracantha coccinea M.Roem., 1847 [nom. cons.]"	"déb-XXe (1913)"	"Asie"	"Berges et ripisylves ; Dunes côtières et plages de sable ; Forêts et maquis ; Milieux anthropiques ; Prairies humides ; Prairies, pelouses sèches et garrigues"	"Modérée"	
"86975"	"Brassicaceae"	"Bunias d'Orient, Roquette d'Orient"	"Bunias orientalis L., 1753"	"Bunias orientalis L., 1753"	"mi-XIXe (1852)"	"Europe (sans bassin méditerranéen)"	"Milieux agricoles ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Modérée"	
"610664"	"Cabombaceae"	"Cabomba de Caroline, Éventail de Caroline"	"Cabomba caroliniana A.Gray, 1848"	"Cabomba caroliniana A.Gray, 1848"	"déb-XXIe (2005)"	"Amérique"	"Eaux courantes ou stagnantes"	"Prévention"	
"85187"	"Cactaceae"	"Cactus à fleurs roses"	"Austrocylindropuntia cylindrica (Lam.) Backeb., 1942 [syn. Opuntia cylindrica (Lam.) DC., 1828]"	"Austrocylindropuntia cylindrica (Lam.) Backeb., 1942"	"Non connue"	"Amérique du Sud"	"Côtes rocheuses et falaises"	"Alerte"	
"610563"	"Cactaceae"	"Cactus à grosses racines"	"Opuntia macrorhiza Engelm., 1850"	"Opuntia macrorhiza Engelm., 1850"	"Non connue"	"Amérique du Nord"	"Côtes rocheuses et falaises"	"Alerte"	
"87696"	"Campanulaceae"	"Campanule des murailles"	"Campanula portenschlagiana Schult., 1819"	"Campanula portenschlagiana Schult., 1819"	""	"Europe de l'Est et Asie centrale"	""	"Emergente"	
"119774"	"Poaceae"	"Canne à sucre fourragère"	"Saccharum spontaneum L., 1771"	"Saccharum spontaneum L., 1771"	"Non connue"	"Asie"	"Côtes rocheuses et falaises ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Prévention"	
"89452"	"Pinaceae"	"Cèdre de l'Atlas"	"Cedrus atlantica (Endl.) Manetti ex Carrière, 1855 [hors plantations]"	"Cedrus atlantica (Endl.) Manetti ex Carrière, 1855"	"mi-XIXe"	"Afrique"	"Côtes rocheuses et falaises ; Forêts et maquis ; Prairies, pelouses sèches et garrigues"	"Modérée"	
"89489"	"Poaceae"	"Cenchrus à épines longues, Cenchrus à longues épines"	"Cenchrus longispinus (Hack.) Fernald, 1943"	"Cenchrus longispinus (Hack.) Fernald, 1943"	"déb-XXe (1933)"	"Amérique du Nord"	"Milieux agricoles ; Milieux anthropiques"	"Alerte"	
"89484"	"Poaceae"	"Cenchrus épineux, Cenchrus douteux"	"Cenchrus incertus M.A.Curtis, 1835 [syn. Cenchrus spinifex Cav., 1799 ; Cenchrus pauciflorus Benth., 1844]"	"Cenchrus incertus M.A.Curtis, 1835"	"A priori absente"	"Amérique"	"Dunes côtières et plages de sable ; Milieux anthropiques"	"Prévention"	
"89581"	"Asteraceae"	"Centaurée diffuse"	"Centaurea diffusa Lam., 1785"	"Centaurea diffusa Lam., 1785"	"Non connue"	"Europe (sans bassin méditerranéen)"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"610715"	"Iridaceae"	"Chasmante bicolore"	"Chasmanthe bicolor (Gasp. ex Vis.) N.E.Br., 1932"	"Chasmanthe bicolor (Gasp. ex Vis.) N.E.Br., 1932"	"Non connue"	"Afrique"	"Côtes rocheuses et falaises ; Milieux anthropiques"	"Alerte"	
"116762"	"Fagaceae"	"Chêne rouge d'Amérique"	"Quercus rubra L., 1753"	"Quercus rubra L., 1753"	"XVIIe siècle"	"Amérique du Nord"	"Forêts et maquis"	"Emergente"	
"611753"	"Amaranthaceae"	"Chénopode fausse ambroisie"	"Dysphania ambrosioides (L.) Mosyakin & Clemants, 2002 [syn. Chenopodium ambrosioides L., 1753]"	"Dysphania ambrosioides (L.) Mosyakin & Clemants, 2002"	""	"Amérique"	"Berges et ripisylves ; Milieux anthropiques"	"Modérée"	
"106571"	"Caprifoliaceae"	"Chèvrefeuille du Japon"	"Lonicera japonica Thunb., 1784"	"Lonicera japonica Thunb., 1784"	""	"Asie"	"Berges et ripisylves ; Forêts et maquis ; Marais, tourbières, tufières"	"Majeure"	
"611295"	"Asteraceae"	"Chrysanthème des jardins"	"Glebionis coronaria (L.) Cass. ex Spach, 1841"	"Glebionis coronaria (L.) Cass. ex Spach, 1841"	"Non connue"	"Bassin méditerranéen"	"Milieux agricoles ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"93734"	"Rosaceae"	"Cognassier"	"Cydonia oblonga Mill., 1768 [hors plantations]"	"Cydonia oblonga Mill., 1768"	""	"Asie"	""	"Majeure"	
"90307"	"Rosaceae"	"Cognassier du Japon, Pommier du Japon"	"Chaenomeles japonica (Thunb.) Lindl. ex Spach, 1834"	"Chaenomeles japonica (Thunb.) Lindl. ex Spach, 1834"	""	"Asie"	""	"Alerte"	
"96749"	"Asteraceae"	"Conyze du Canada, Vergerette du Canada"	"Erigeron canadensis L., 1753 [syn. Conyza canadensis (L.) Cronquist, 1943]"	"Erigeron canadensis L., 1753"	"mi-XVIIe (1650)"	"Amérique du Nord"	"Berges et ripisylves ; Dunes côtières et plages de sable ; Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"105615"	"Brassicaceae"	"Corne-de-cerf à deux lobes, Corne-de-cerf didyme, Passerage didyme"	"Lepidium didymum L., 1767 [syn. Coronopus didymus (L.) Sm., 1800]"	"Lepidium didymum L., 1767"	"Non connue"	"Amérique du Sud"	"Berges et ripisylves ; Milieux anthropiques"	"Alerte"	
"993912"	"Rosaceae"	"Cotonéaster de Simons"	"Cotoneaster symondsii Standish ex T.Moore, 1861 [syn. Cotoneaster simonsii Baker, 1869]"	"Cotoneaster symondsii Standish ex T.Moore, 1861"	"mi-XIXe (1865)"	"Asie"	"Forêts et maquis ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"717150"	"Rosaceae"	"Cotonéaster laiteux, Cotonéaster de Parney, Cotonéaster lacté, Cotonéaster coriace"	"Cotoneaster coriaceus Franch., 1890 [syn. Cotoneaster lacteus W.W.Sm., 1917 ; Cotoneaster smithii G.Klotz, 1996]"	"Cotoneaster coriaceus Franch., 1890"	"Non connue"	"Asie"	"Côtes rocheuses et falaises ; Dunes côtières et plages de sable ; Forêts et maquis ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"92722"	"Asteraceae"	"Cotule australe"	"Cotula australis (Sieber ex Spreng.) Hook.f., 1853"	"Cotula australis (Sieber ex Spreng.) Hook.f., 1853"	"Non connue"	"Océanie"	"Milieux agricoles ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"92723"	"Asteraceae"	"Cotule Pied-de-corbeau, Corne de cerf"	"Cotula coronopifolia L., 1753"	"Cotula coronopifolia L., 1753"	"XIXe"	"Afrique"	"Berges et ripisylves ; Marais, tourbières, tufières ; Prairies humides"	"Prévention"	
"92793"	"Crassulaceae"	"Crassule de Helms, Orpin de Helms, Crassule"	"Crassula helmsii (Kirk) Cockayne, 1907 [syn. Tillaea helmsii Kirk, 1899]"	"Crassula helmsii (Kirk) Cockayne, 1907"	"déb-XXe (1911)"	"Océanie"	"Berges et ripisylves ; Eaux courantes ou stagnantes ; Marais, tourbières, tufières"	"Prévention"	
"93020"	"Asteraceae"	"Crépide à feuilles de capselle, Fausse bourse à pasteur"	"Crepis bursifolia L., 1753"	"Crepis bursifolia L., 1753"	"Non connue"	"Bassin méditerranéen"	"Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"93613"	"Convolvulaceae"	"Cuscute des champs"	"Cuscuta campestris Yunck., 1932"	"Cuscuta campestris Yunck., 1932"	"1883"	"Amérique du Nord"	"Berges et ripisylves ; Milieux agricoles"	"Modérée"	
"125811"	"Cupressaceae"	"Cyprès chauve"	"Taxodium distichum (L.) Rich., 1810 [hors plantations]"	"Taxodium distichum (L.) Rich., 1810"	"Non connue"	"Amérique du Nord"	"Berges et ripisylves ; Marais, tourbières, tufières ; Milieux anthropiques"	"Emergente"	
"93585"	"Cupressaceae"	"Cyprès de Lambert, Cyprès de Monterey"	"Cupressus macrocarpa Hartw., 1847"	"Cupressus macrocarpa Hartw., 1847"	"Non connue"	"Amérique du Nord"	"Milieux anthropiques"	"Alerte"	
"93570"	"Cupressaceae"	"Cyprès de l'Arizona, Cyprès bleu, Cyprès glabre"	"Cupressus arizonica Greene, 1882"	"Cupressus arizonica Greene, 1882"	"Non connue"	"Amérique du Nord"	"Milieux anthropiques"	"Alerte"	
"94489"	"Solanaceae"	"Datura stramoine, Stramoine commune, Herbe à la taupe, Datura officinal"	"Datura stramonium L., 1753"	"Datura stramonium L., 1753"	"Non connue"	"Amérique du Sud"	"Berges et ripisylves ; Milieux agricoles ; Milieux anthropiques"	"Modérée"	
"94972"	"Poaceae"	"Digitaire ciliée"	"Digitaria ciliaris (Retz.) Koeler, 1802"	"Digitaria ciliaris (Retz.) Koeler, 1802"	"Non connue"	"Asie"	"Milieux agricoles ; Milieux anthropiques"	"Emergente"	
"94919"	"Convolvulaceae"	"Dischondre à petites fleurs"	"Dichondra micrantha Urb., 1924"	"Dichondra micrantha Urb., 1924"	"Non connue"	"Asie"	"Milieux anthropiques"	"Emergente"	
"95434"	"Aizoaceae"	"Drosanthème à fleurs nombreuses"	"Drosanthemum floribundum (Haw.) Schwantes, 1927 [syn. Mesembryanthemum floribundum Haw., 1803]"	"Drosanthemum floribundum (Haw.) Schwantes, 1927"	""	"Afrique"	""	"Alerte"	
"95823"	"Hydrocharitaceae"	"Égérie dense, Égéria, Élodée dense"	"Egeria densa Planch., 1849"	"Egeria densa Planch., 1849"	"déb-XXe (1919)"	"Amérique du Sud"	"Eaux courantes ou stagnantes"	"Emergente"	
"710411"	"Poaceae"	"Ehrharte érigée"	"Ehrharta erecta Lam., 1786"	"Ehrharta erecta Lam., 1786"	"Non connue"	"Afrique"	"Berges et ripisylves ; Côtes rocheuses et falaises ; Dunes côtières et plages de sable ; Forêts et maquis ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Alerte"	
"20000586"	"Poaceae"	"Ehrharte pérenne, Ehrharte calicinale"	"Ehrharta calycina Sm."	"Ehrharta calycina Sm."	"Non connue"	"Afrique"	"Dunes côtières et plages de sable ; Forêts et maquis ; Milieux anthropiques ; Prairies, pelouses sèches et garrigues"	"Prévention"	
"95965"	"Poaceae"	"Éleusine des Indes"	"Eleusine indica (L.) Gaertn., 1788"	"Eleusine indica (L.) Gaertn., 1788"	"mi-XIXe (1868)"	"Asie"	"Milieux anthropiques"	"Alerte"	
"84269"	"Asparagaceae"	"Élide en forme d'asperge"	"Asparagus asparagoides (L.) Druce, 1914 [syn. Elide asparagoides (L.) Kerguélen, 1993]"	"Asparagus asparagoides (L.) Druce, 1914"	"XXe"	"Afrique"	"Côtes rocheuses et falaises ; Forêts et maquis ; Milieux anthropiques"	"Modérée"	
