"id_unique","cd_ref","lb_nom","N°_Taxinomique_BDNFF","N°_Nomenclatural_BDNFF","code_CATMINAT","NOM_SCIENTIFIQUE","TYPE_BIOLOGIQUE","indicat_phytoscio_caract","caract_eco_hab_optimal","INDICATION_DIFFERENTIELLE_1","INDICATION_DIFFERENTIELLE_2","Lichtzahl","Temperaturzahl","Kontinentalitat","Feuchtzahl","Reaktionszahl","rang_taxinomique","CHOROLOGIE","inflorescence","sexualité","ordre_maturation","pollinisation","fruit","dissémination","couleur_fleur","macule","floraison","type_ligneux","Hauteur_végétative_maximum (m)","MODELE ARCHITECTURAL","FORMATION_VEGETALE","INDICATION_CARACTERISTIQUE_TRANSGRESSIVE","INDICATION_DIFFERENTIELLE_3","Lumière","Température","Continentalité","Humidité_atmosphérique","Humidité_édaphique","Réaction_du_sol_(pH)","Niveau_trophique","Salinité","Texture","Matière_organique","Nutrients","Salz","CLASSE_(-opsida)","SUBCLASSE_(-idae)","Clade_intermédiaire","SUPERORDRE_(-anae)","Clade_intermédiaire_1","Clade_intermédiaire_2","Clade_intermédiaire_3","ORDRE_(-ales)","FAMILLE_(-aceae)","numSpA","numSpB","numSpH","nomA","nomB","nomH","Life strategy"
"11",1000977,"Silene otites subsp. colpophylla","2203","168737","08/1.1.3.0.1","Silene otites subsp. colpophylla (Wrigley) J.-M.Tison, 2021","hros","Sedion albo–sediformis de Foucault 1999","lithophytes des dalles basophiles, mésoméditerranéennes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"subsp","méditerranéen (provençal)","cyme bipare","hermaphrodite",NULL,"entomogame","capsule","anémochore",NULL,NULL,NULL,NULL,NULL,"Corner","hémicryptophytaie",NULL,NULL,3,8,2,5,5,8,4,0,8,1,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Caryophyllanae","Eudicots","Eudicots","Eudicots","Caryophyllales","Caryophyllaceae",0,0,13685,NULL,NULL,"Silene pseudotites",NULL
"12",100104,"Geranium molle","30460","75468","13/5.","Geranium molle L., 1753","test","Cardaminetea hirsutae Géhu 1999","ourlets thérophytiques vernaux, nitrophiles, méridionaux, hémisciaphiles à hémihéliophiles",NULL,NULL,"7","6","3","4","5","esp","eurasiatique","racème de cymes unipares hélicoïdes","gynodioïque","protandre","entomogame, autogame","capsule","autochore","rose",NULL,"4-9",NULL,"0.6","Acosta","thérophytaie",NULL,NULL,6,5,5,5,5,6,6,0,4,1,"4","0","Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1890,NULL,NULL,"Geranium molle",NULL
"13",100109,"Geranium nodosum","3428","30003","10/3.0.1","Geranium nodosum L., 1753","grhi","Mercurialietalia perennis Gillet 1986 ex Julve 1993","sous-bois herbacés médio-européens, basophiles",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","européen méridional","racème de cymes unipares hélicoïdes","hermaphrodite",NULL,"entomogame","capsule","autochore","rose",NULL,"5-9",NULL,"0.5","Bell","hémicryptophytaie",NULL,NULL,4,6,4,6,5,7,6,0,2,3,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1896,NULL,NULL,"Geranium nodosum",NULL
"14",1039337,"Rubus leyanus","nc","nc","13/9.0.1","Rubus leyanus W.M.Rogers, 1894","Hrub","Rubetalia plicati Weber ex Pott 1995","ronciers de clairières acidophiles médio-européennes, mésohydriques à mésohygrophiles",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","atlantique","racème de racèmes","hermaphrodite",NULL,"apogame","drupe","endozoochore",NULL,NULL,NULL,NULL,NULL,"Champagnat","hémicryptophytaie",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Rosales","Rosaceae",0,0,0,NULL,NULL,NULL,NULL
"15",100114,"Geranium palustre","3429","30012","05/2.0.1.0.2.2","Geranium palustre L., 1756","heri","Veronico longifoliae–Lysimachienion vulgaris Passarge 1977","mégaphorbiaies planitiaires-collinéennes, mésotrophiles, neutrophiles, centro-européennes",NULL,NULL,"8","5","4","7~","8","esp","eurasiatique","racème de cymes unipares hélicoïdes","gynodioïque","protandre","entomogame","capsule","autochore","rose",NULL,"7-8",NULL,"0.8","Stone","hémicryptophytaie",NULL,NULL,7,5,7,8,7,8,7,0,1,8,"7","0","Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1900,NULL,NULL,"Geranium palustre",NULL
"16",100120,"Geranium phaeum","3430","30019","05/2.0.3.0.1","Geranium phaeum L., 1753","grhi","Filipendulo ulmariae–Cirsion rivularis de Foucault 1984 em. Passarge 1988","mégaphorbiaies boréomontagnardes ",NULL,NULL,"6","x","4","5","6","esp","européen","racème de cymes unipares hélicoïdes","hermaphrodite",NULL,"entomogame","capsule","autochore","bleu",NULL,"5-8",NULL,"0.6","Bell","hémicryptophytaie",NULL,NULL,5,3,6,8,7,6,7,0,2,8,"5","0","Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1902,NULL,NULL,"Geranium phaeum",NULL
"17",100128,"Geranium pratense","30143","75151","12/1.1.1.0.2","Geranium pratense L., 1753","Heri","Arrhenatherion elatioris subsp. elatioris Luquet 1926","prairies mésohydriques fauchées, mésothermes, planitiaires à montagnardes inférieures",NULL,NULL,"8","6","5","5","8","esp","eurasiatique","racème de cymes unipares hélicoïdes","gynodioïque","protandre","entomogame","capsule","autochore","bleu",NULL,"6-8",NULL,"1.2","Stone","hémicryptophytaie",NULL,NULL,8,5,7,6,6,6,6,0,2,3,"7","0","Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1898,NULL,NULL,"Geranium pratense",NULL
"18",100132,"Geranium purpureum","3437","30034","13/5.0.1","Geranium purpureum Vill., 1786","test","Geranio purpurei–Cardaminetalia hirsutae Brullo in Brullo & Marceno 1985","ourlets thérophytiques vernaux, nitrophiles, méso- à subméditerranéens",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","paléotempéré","racème de cymes unipares hélicoïdes","hermaphrodite",NULL,"entomogame, autogame","capsule","autochore","rose",NULL,"4-9",NULL,"0.4","Acosta","thérophytaie",NULL,NULL,7,7,3,4,4,6,6,0,4,2,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1884,NULL,NULL,"Geranium purpureum",NULL
"19",100133,"Geranium pusillum","3432","30036","13/5.0.1.0.1","Geranium pusillum L., 1759","test","Geranio pusilli–Anthriscion caucalidis Rivas–Martínez 1978","ourlets thérophytiques vernaux, nitrophiles, méso- à subméditerranéens occidentaux","Sisymbrietea officinalis Korneck 1974",NULL,"7","6","5","4","x","esp","eurasiatique","racème de cymes unipares hélicoïdes","hermaphrodite","protogyne","entomogame, autogame","capsule","autochore","rose",NULL,"5-9",NULL,"0.4","Acosta","thérophytaie",NULL,NULL,7,6,5,5,5,6,7,0,3,3,"7","0","Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1888,NULL,NULL,"Geranium pusillum",NULL
"20",100136,"Geranium pyrenaicum","30144","75152","13/2.0.1.0.3","Geranium pyrenaicum Burm.f., 1759","heri","Arction lappae Tüxen 1937 em. 1950","friches vivaces eutrophiles, mésohydriques, héliophiles",NULL,NULL,"8","6","4","5","7","esp","européen méridional","racème de cymes unipares hélicoïdes","hermaphrodite","protandre","entomogame, autogame","capsule","autochore","bleu",NULL,"5-9",NULL,NULL,"Sione","hémicryptophytaie",NULL,NULL,7,6,4,6,5,7,8,0,3,3,"8","0","Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1891,NULL,NULL,"Geranium pyrenaicum",NULL
"21",100141,"Geranium rivulare","3434","30043","05/1.0.1.0.1","Geranium rivulare Vill., 1779","Heri","Adenostylion alliariae Braun–Blanquet 1926","mégaphorbiaies subalpines, hygrophiles, mésotrophiles, basophiles, des adrets","Triseto flavescentis - Bistortion officinalis Braun-Blanquet & Tüxen 1943 ex Marschall 1947",NULL,NULL,NULL,NULL,NULL,NULL,"esp","orophyte alpien","racème de cymes unipares hélicoïdes","hermaphrodite",NULL,"entomogame","capsule","autochore","blanc","rose","7-8",NULL,NULL,"Stone","hémicryptophytaie",NULL,NULL,6,2,5,8,7,7,7,0,1,8,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1899,NULL,NULL,"Geranium syl. rivulare",NULL
"22",100142,"Geranium robertianum","3435","30044","13/6.","Geranium robertianum L., 1753","test(hbis)","Galeopsio tetrahit–Senecionetea sylvatici Passarge 1981 ex de Foucault 2011","annuelles pionnières nitrophiles des clairières et lisières européennes, psychrophiles",NULL,NULL,"5","x","3","x","x","esp","cosmopolite","racème de cymes unipares hélicoïdes","hermaphrodite",NULL,"entomogame, autogame","capsule","autochore","rose",NULL,"4-9",NULL,"0.6","Acosta","thérophytaie",NULL,NULL,4,5,5,6,5,5,7,0,3,3,"7","0","Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1883,NULL,NULL,"Geranium robertianum",NULL
"23",100144,"Geranium rotundifolium","3438","30056","13/5.","Geranium rotundifolium L., 1753","test","Cardaminetea hirsutae Géhu 1999","ourlets thérophytiques vernaux, nitrophiles, méridionaux, hémisciaphiles à hémihéliophiles","Fumario officinalis - Euphorbion helioscopiae Müller ex Görs 1966",NULL,"7","8","5","4","7","esp","eurasiatique","racème de cymes unipares hélicoïdes","hermaphrodite","homogame","entomogame, autogame","capsule","autochore","rose",NULL,"4-9",NULL,"0.6","Acosta","thérophytaie",NULL,NULL,7,6,4,5,4,7,6,0,3,2,"6","0","Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1889,NULL,NULL,"Geranium rotundifolium",NULL
"24",100149,"Geranium sanguineum","3439","30061","10/2.0.1","Geranium sanguineum L., 1753","heri","Antherico ramosi–Geranietalia sanguinei Julve 1993","ourlets basophiles médio-européens, mésoxérophiles",NULL,NULL,"7","6","4","3","8","esp","eurasiatique","racème de cymes unipares hélicoïdes","hermaphrodite","protandre","entomogame, autogame","capsule","autochore","rose",NULL,"6-7",NULL,NULL,"Stone","hémicryptophytaie",NULL,NULL,6,6,4,5,4,8,3,0,3,2,"3","0","Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1895,NULL,NULL,"Geranium sanguineum",NULL
"25",100160,"Geranium sylvaticum","3441","30077","05/2.0.3.0.1","Geranium sylvaticum L., 1753","grhi","Filipendulo ulmariae–Cirsion rivularis de Foucault 1984 em. Passarge 1988","mégaphorbiaies boréomontagnardes ",NULL,NULL,"6","4","4","6","6","esp","eurasiatique","racème de cymes unipares hélicoïdes","hermaphrodite","protandre","entomogame","capsule","autochore","rose",NULL,"6-8",NULL,"0.8","Bell","hémicryptophytaie",NULL,NULL,5,3,6,8,7,7,7,0,1,8,"7","0","Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,1897,NULL,NULL,"Geranium sylvaticum",NULL
"26",100161,"Geranium tuberosum","30145","75153","13/31.","Geranium tuberosum L., 1753","grhi","Dittrichietea viscosae Trinajstić, de Foucault & Jasprica in de Foucault & Jasprica 2019","friches vivaces rudérales méditerranéennes occidentales à centrales, mésohydriques à mésoxérophiles",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","méditerranéen(eury)","racème de cymes unipares hélicoïdes","hermaphrodite",NULL,"entomogame","capsule","autochore","rose",NULL,"4-6",NULL,NULL,"Leeuwenberg","hémicryptophytaie",NULL,NULL,8,8,3,4,5,8,6,0,3,2,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,12038,NULL,NULL,"Geranium tuberosum *",NULL
"27",100167,"Geranium versicolor","3444","30087","13/2.0.1.0.1","Geranium versicolor L., 1755","grhi","Aegopodion podagrariae Tüxen 1967 em. Hilbig, Heinrich & Niemann 1972","ourlets externes et friches eutrophiles, mésohydriques à mésohygrophiles, estivaux",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","orophyte méditerranéen central","racème de cymes unipares hélicoïdes","hermaphrodite",NULL,"entomogame","capsule","autochore",NULL,NULL,NULL,NULL,"0.6","Bell","hémicryptophytaie",NULL,NULL,6,4,3,5,5,5,7,0,3,3,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Geraniales","Geraniaceae",0,0,4485,NULL,NULL,"Geranium versicolor",NULL
"28",1044062,"Dryopteris x critica","7388",NULL,"10/3.0.2.0.1","Dryopteris x critica (Fraser-Jenk.) Fraser-Jenk., 2007","Grhi","Luzulion forsteri Julve 2006 all. nov. hoc loco",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"hyb","européen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.5","Tomlinson","hémicryptophytaie",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"29",100187,"Geropogon hybridus","806","30097","13/4.0.2","Geropogon hybridus (L.) Sch.Bip., 1844","tver","Brometalia rubenti–tectorum Rivas–Martínez & Izco 1977","friches annuelles, méso-eutrophiles à eutrophiles, méditerranéo-atlantiques, vernales",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","méditerranéen(eury)","racème de capitules","hermaphrodite",NULL,"entomogame","akène","anémochore","rose",NULL,"5",NULL,NULL,"Holltum","thérophytaie",NULL,NULL,8,7,4,4,5,6,7,0,3,3,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Asteranae","Eudicots","Eudicots","Eudicots","Asterales","Asteraceae",0,0,12363,NULL,NULL,"Tragopogon hybridus",NULL
"30",100201,"Geum heterocarpum","4750","30114","13/2.0.1.0.2","Geum heterocarpum Boiss., 1838","heri","Geo urbani–Brachypodion sylvatici Julve 2019 all. nov. hoc loco","ourlets internes eutrophiles, hémisciaphiles, vernaux",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","eurasiatique méridional","cyme unipare hélicoïde","hermaphrodite",NULL,"entomogame","akène","épizoochore","blanc",NULL,"7-8",NULL,"0.5","Leeuwenberg","hémicryptophytaie",NULL,NULL,7,5,5,5,4,8,3,0,8,1,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Rosales","Rosaceae",0,0,10554,NULL,NULL,"Geum heterocarpum",NULL
"31",100203,"Geum hispidum","4751","30116","12/1.1.2.0.1.1","Geum hispidum Fr., 1817","heri","Rhinantho pumili–Trisetenion flavescentis de Foucault 2016","prairies mésohydriques, fauchées, subalpines à montagnardes supérieures, SW-européennes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","boréo-subalpin","cyme unipare hélicoïde","hermaphrodite",NULL,"entomogame","akène","épizoochore","jaune",NULL,NULL,NULL,"0.6","Stone","hémicryptophytaie",NULL,NULL,7,3,3,7,5,6,5,0,2,3,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Rosales","Rosaceae",0,0,11962,NULL,NULL,"Geum hispidum",NULL
"32",1002105,"Helianthemum oelandicum var. oelandicum","2435",NULL,"09/20.","Helianthemum oelandicum var. oelandicum (L.) Dum.Cours., 1802","csuf","Seslerietea caeruleae Braun–Blanquet 1948 em. Oberdorfer 1978","pelouses basophiles boréo-subalpines, pionnières, chionophiles",NULL,NULL,"9","2","4","4","9","var","orophyte européen","cyme unipare hélicoïde","hermaphrodite",NULL,"entomogame","capsule","barochore","jaune",NULL,"5-7",NULL,NULL,"Tomlinson","hémicryptophytaie",NULL,NULL,9,2,5,4,4,9,2,0,3,2,"2","0","Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Malvales","Cistaceae",0,0,2043,NULL,NULL,"Helianthemum oel. alpestre",NULL
"33",1002106,"Helianthemum oelandicum var. italicum","10329",NULL,"09/3.1","Helianthemum oelandicum var. italicum (L.) DC., 1813","csuf","Fumano procumbentis–Koelerienea vallesianae Julve 2019 subcla. nov. hoc loco","pelouses basophiles médio-européennes, mésoxérophiles à mésohydriques, méridionales, plutôt primaires, sur lithosols à rendosols peu profonds",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"var","méditerranéen","cyme unipare hélicoïde","hermaphrodite",NULL,"entomogame","capsule","barochore","jaune",NULL,"5-7",NULL,"0.2","Tomlinson","hémicryptophytaie",NULL,NULL,8,6,4,3,3,8,1,0,3,2,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Malvales","Cistaceae",0,0,2042,NULL,NULL,"Helianthemum oel. italicum",NULL
"34",100212,NULL,"4754","30132","12/1.1.3.0.3","Geum pyrenaicum Willd., 1799","hros","Poion alpinae Gams 1927 ex Oberdorfer 1950","prairies mésohydriques eutrophiles, pâturées, subalpines",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"esp","orophyte pyrénéen","cyme unipare hélicoïde","hermaphrodite",NULL,"entomogame","akène","épizoochore","jaune",NULL,"7-8",NULL,NULL,"Leeuwenberg","hémicryptophytaie",NULL,NULL,7,3,4,5,5,6,6,0,2,3,NULL,NULL,"Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Rosales","Rosaceae",0,0,11969,NULL,NULL,"Geum pyrenaicum",NULL
"35",100215,"Geum rivale","4756","30136","05/2.0.3","Geum rivale L., 1753","heri","Petasito hybridi–Chaerophylletalia hirsuti Morariu 1967","mégaphorbiaies boréales à montagnardes, mésoeutrophiles",NULL,NULL,"6","x","5","8~","x","esp","holarctique","cyme unipare hélicoïde","androdioïque","protogyne","entomogame, autogame","akène","épizoochore","rose",NULL,"5-7",NULL,"0.5","Stone","hémicryptophytaie",NULL,NULL,5,3,6,8,7,6,7,0,1,8,"4","0","Magnoliopsida","Magnoliidae","Eudicots","Rosanae","Eudicots","Eudicots","Eudicots","Rosales","Rosaceae",0,0,1556,NULL,NULL,"Geum rivale",NULL
