"CD_NOM","NOM_VALIDE","NOM_VERN","INTERET_PACA","PROTECTION_PACA","CARACTERISATION_ECOLOGIQUE_.HABITAT_OPTIMAL.","floraison","changefloraison","Janvier","Février","Mars","Avril","Mai","Juin","Juillet","Août","Septembre","Octobre","Novembre","Décembre"
"131262","Althenia filiformis subsp. filiformis Petit, 1829","Althénie filiforme, Althénia filiforme","DD","PN",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"115228","Potamogeton alpinus Balb., 1804","Potamot des Alpes","FORT","PR","herbiers aquatiques, vivaces, enracinés, européens, des eaux douces stagnantes, moyennement profondes, oligotrophiles","6-9","","","","","","","X","X","X","X","","",""
"115228","Potamogeton alpinus Balb., 1804","Potamot des Alpes","FORT","PR","herbiers aquatiques, vivaces, enracinés, des eaux douces, courantes, peu profondes","6-9","","","","","","","X","X","X","X","","",""
"115240","Potamogeton compressus L., 1753","Potamot compressé, Potamot à tige comprimée, Potamot comprimé","MODERE","-","herbiers dulcaquicoles, annuels, enracinés, européens, pionniers d'eaux peu profondes","6-9","","","","","","","X","X","X","X","","",""
"115258","Potamogeton gramineus L., 1753","Potamot graminé, Potamot à feuilles de graminée","FORT","-","herbiers aquatiques, vivaces, enracinés, européens, des eaux douces stagnantes, moyennement profondes, oligotrophiles","6-9","","","","","","","X","X","X","X","","",""
"115270","Potamogeton lucens L., 1753","Potamot luisant, Potamot brillant","MODERE","-","herbiers aquatiques, vivaces, enracinés, européens, des eaux douces profondes, eutrophiles à mésotrophiles, planitiaire à collinéen","6-9","","","","","","","X","X","X","X","","",""
"115280","Potamogeton natans L., 1753","Potamot nageant","FORT","-","herbiers aquatiques, vivaces, enracinés, européens, des eaux douces profondes, eutrophiles à mésotrophiles, planitiaire à collinéen","6-9","","","","","","","X","X","X","X","","",""
"115280","Potamogeton natans L., 1753","Potamot nageant","FORT","-","herbiers aquatiques, vivaces, enracinés, des eaux douces, courantes, peu profondes","6-9","","","","","","","X","X","X","X","","",""
"115296","Potamogeton perfoliatus L., 1753","Potamot perfolié, Potamot à feuilles perfoliées","MODERE","-","herbiers aquatiques, vivaces, enracinés, européens, des eaux douces profondes, eutrophiles à mésotrophiles, planitiaire à collinéen","6-9","","","","","","","X","X","X","X","","",""
"115302","Potamogeton praelongus Wulfen, 1805","Potamot allongé","TRES FORT","PR","herbiers aquatiques, vivaces, enracinés, européens, des eaux douces profondes, eutrophiles à mésotrophiles, planitiaire à collinéen","6-9","","","","","","","X","X","X","X","","",""
"115310","Potamogeton rutilus Wolfg., 1827","Potamot roux, Potamot rougeâtre","MAJEUR","PN","herbiers dulcaquicoles, annuels, enracinés, européens, pionniers d'eaux peu profondes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"115326","Potamogeton trichoides Cham. & Schltdl., 1827","Potamot capillaire, Potamot filiforme, Potamot à feuilles capillaires","MODERE","-","herbiers dulcaquicoles, annuels, enracinés, européens, pionniers d'eaux peu profondes","6-9","","","","","","","X","X","X","X","","",""
"717572","Stuckenia filiformis (Pers.) Börner, 1912","Stuckénie filiforme, Potamot filiforme","MODERE","-","herbiers aquatiques, vivaces, enracinés, européens, des eaux douces stagnantes, moyennement profondes, oligotrophiles","7-8","","","","","","","","X","X","","","",""
"130598","Zannichellia obtusifolia Talavera, García-Mur. & H.Smit, 1986","Zannichellie à feuilles obtuses","TRES FORT","PR","herbiers dulcaquicoles, annuels, enracinés, européens, pionniers d'eaux peu profondes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"130599","Zannichellia palustris L., 1753","Zannichellie des marais, Alguette","FORT","PR","herbiers dulcaquicoles, annuels, enracinés, européens, pionniers d'eaux peu profondes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"130599","Zannichellia palustris L., 1753","Zannichellie des marais, Alguette","FORT","PR","herbiers dulcaquicoles, annuels, enracinés, européens, pionniers d'eaux peu profondes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"130601","Zannichellia pedunculata Rchb., 1829","Zannichellie pédonculée, Zannichellie pédicellée","MODERE","-","herbiers dulcaquicoles, annuels, enracinés, européens, pionniers d'eaux peu profondes","5-9","","","","","","X","X","X","X","X","","",""
"130602","Zannichellia peltata Bertol., 1855","Zannichellie peltée","DD","PR","herbiers dulcaquicoles, annuels, enracinés, européens, pionniers d'eaux peu profondes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"121500","Scheuchzeria palustris L., 1753","Scheuchzérie des marais, Scheuchzérie des tourbières","MODERE","PN","parvocariçaies pionnières sur substrats minéraux oligotrophiles ou tourbes minéralisées (gouilles de cicatrisation)","5-8","","","","","","X","X","X","X","","","",""
"126806","Tofieldia pusilla (Michx.) Pers., 1805","Tofieldie fluette, Tofieldie boréale","FORT","PN","parvocariçaies des tourbières basses basophiles, arctico-alpines à boréo-subalpines","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"126806","Tofieldia pusilla (Michx.) Pers., 1805","Tofieldie fluette, Tofieldie boréale","FORT","PN","parvocariçaies des tourbières basses basophiles, arctico-alpines à boréo-subalpines","7-8","","","","","","","","X","X","","","",""
"130673","Zostera marina L., 1753","Zostère marine, Zostère maritime, Varech des bords de mer, Varech marin","TRES FORT","PR","herbiers marins phanérogamiques, holarctiques, tempérés froids à modal","6-9","","","","","","","X","X","X","X","","",""
"621062","Zostera marina var. marina L., 1753","Zostère marine","DD","PR",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"621060","Zostera marina var. angustifolia Hornem., 1820","Zostère à feuilles étroites, Zostère marine à feuilles étroites","DD","PR","herbiers marins phanérogamiques, psychrophiles","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"674883","Zostera noltei Hornem., 1832","Zostère de Nolte, Varech de Nolte, Zostère naine","DD","PR","herbiers marins phanérogamiques européens","6-9","","","","","","","X","X","X","X","","",""
"1012157","Molopospermum peleponnesiacum (L.) W.D.J.Koch, 1824","Moloposperme du Péloponnèse, Fausse ciguë, Couscouil","FAIBLE","PR","mégaphorbiaies subalpines à montagnardes, mésohydriques, méso-oligotrophiles, acidophiles, occidentales","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"1012157","Molopospermum peleponnesiacum (L.) W.D.J.Koch, 1824","Moloposperme du Péloponnèse, Fausse ciguë, Couscouil","FAIBLE","PR","mégaphorbiaies subalpines à montagnardes, mésohydriques, méso-oligotrophiles, acidophiles, occidentales","5-8","","","","","","X","X","X","X","","","",""
"137873","Molopospermum peleponnesiacum subsp. peleponnesiacum (L.) W.D.J.Koch, 1824","Moloposperme du Péloponnèse, Fausse ciguë, Couscouil","DD","PR",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"109455","Naufraga balearica Constance & Cannon, 1967","Naufragée des Baléares","DD","PN","parvogéophytaies amphibies courtement exondables, oligotrophiles, méditerranéennes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"117820","Ridolfia segetum (Guss.) Moris, 1842","Ridolfie des moissons, Aneth des moissons, Fenouil des moissons","MAJEUR","-","annuelles commensales des moissons basophiles, thermophiles","5-8","","","","","","X","X","X","X","","","",""
"87037","Bupleurum corsicum Coss. & Kralik, 1849","Buplèvre de Corse","MODERE","-","pelouses acidophiles supraméditerranéennes, corso-sardes","7-10","","","","","","","","X","X","X","X","",""
"87053","Bupleurum gerardi All., 1773","Buplèvre de Gérard","FORT","-","annuelles des tonsures basophiles, aéromésohydriques, méso à subméditerranéennes","7-8","","","","","","","","X","X","","","",""
"87068","Bupleurum longifolium L., 1753","Buplèvre à feuilles allongées, Buplèvre à feuilles longues","TRES FORT","-","ourlets externes basophiles à grandes herbes, alpiens méridionaux, mésoxérophiles, mésotrophiles","7-8","","","","","","","","X","X","","","",""
"87068","Bupleurum longifolium L., 1753","Buplèvre à feuilles allongées, Buplèvre à feuilles longues","TRES FORT","-","ourlets externes basophiles à grandes herbes, alpiens méridionaux, mésoxérophiles, mésotrophiles","7-8","","","","","","","","X","X","","","",""
"87095","Bupleurum rotundifolium L., 1753","Buplèvre à feuilles rondes, Oreille-de-lièvre","MODERE","-","annuelles commensales des moissons basophiles, mésothermes","6-8","","","","","","","X","X","X","","","",""
"87102","Bupleurum subovatum Link ex Spreng., 1813","Buplèvre presque ovale, Buplèvre ovale, Buplèvre à ombelles réduites","MAJEUR","-","annuelles commensales des moissons basophiles, thermophiles","6-8","","","","","","","X","X","X","","","",""
"87106","Bupleurum tenuissimum L., 1753","Buplèvre très grêle, Buplèvre grêle, Buplèvre menu, Buplèvre très ténu","MODERE","-","annuelles des tonsures basophiles, aéroxérophiles, thermophiles, méditerranéennes","8-10","","","","","","","","","X","X","X","",""
"87106","Bupleurum tenuissimum L., 1753","Buplèvre très grêle, Buplèvre grêle, Buplèvre menu, Buplèvre très ténu","MODERE","-","annuelles des tonsures basophiles, aéroxérophiles, thermophiles, méditerranéennes","8-10","","","","","","","","","X","X","X","",""
"85999","Bifora testiculata (L.) Spreng., 1820","Bifore testiculée, Bifore à deux coques, Bifora testiculé, Bifora à deux coques, Bifora à testicules","FORT","-","annuelles commensales des moissons basophiles, thermophiles","4-6","","","","","X","X","X","","","","","",""
"95697","Echinophora spinosa L., 1753","Échinophore épineuse","MODERE","PR","végétation vivace des dunes maritimes bordières à mobiles méditerranéennes","7-10","","","","","","","","X","X","X","X","",""
"133806","Dethawia splendens subsp. splendens (Lapeyr.) Kerguélen, 1993","Déthawie éclatante, Déthawie à feuilles fines, Ligustique ? feuilles fines","FORT","-",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"98032","Ferulago campestris (Besser) Grecescu, 1898","Petite férule des champs","MODERE","PD83","friches mésohydriques, mésoeutrophiles, méditerranéennes","7-8","","","","","","","","X","X","","","",""
"609224","Gasparrinia peucedanoides (M.Bieb.) Thell., 1926","Séséli faux peucédan, Séséli verdâtre, Gasparrinie faux peucédan","FORT","-","ourlets externes basophiles médio-européens, mésoxérophiles, occidentaux","6-8","","","","","","","X","X","X","","","",""
"104456","Katapsuxis silaifolia (Jacq.) Raf., 1840","Katapsuxide à feuilles de silaüs, Katapsuxis à feuilles de silaüs, Sélin à feuilles de silaüs, Cnide fausse ache, Laser à feuilles de silaüs","MODERE","-","ourlets externes basophiles médio-européens, mésoxérophiles, occidentaux","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"104713","Kundmannia sicula (L.) DC., 1830","Kundmannie de Sicile","MODERE","-","pelouses basophiles mésoméditerranéennes, mésoxérophiles","5-6","","","","","","X","X","","","","","",""
"610917","Mutellina adonidifolia (J.Gay) Gutermann, 2006","Mutelline à feuilles d'adonis, Ligustique à feuilles d'Adonis, Mutelline pourpre, Ligustique mutelline","TRES FORT","PD04","mégaphorbiaies subalpines, hygrophiles mésotrophiles, acidophiles, des ubacs","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"108918","Mutellina corsica (J.Gay) Reduron, Pimenov & M.V.Leonov, 1997","Mutelline de Corse, Ligustique de Corse","MODERE","-","pelouses acidophiles supra à oroméditerranéennes, corso-sardes","7-8","","","","","","","","X","X","","","",""
"115797","Prangos trifida (Mill.) Herrnst. & Heyn, 1977","Prangos trifide, Amarinthe trifide","FAIBLE","PR","friches halophiles littorales, thermophiles","4-6","","","","","X","X","X","","","","","",""
"608144","Caropsis verticillato-inundata (Thore) Rauschert, 1982","Faux carum de Thore, Caropside de Thore, Thorella, Caropsis de Thore","TRES FAIBLE","PN","parvogéophytaies amphibies courtement exondables, oligotrophiles, hyperatlantiques, acidophiles","7-9","","","","","","","","X","X","X","","",""
"91199","Cicuta virosa L., 1753","Ciguë vireuse, Ciguë aquatique, Ciguë vénéneuse, Cicutaire vireuse","FORT","-","magnocariçaies et roselières tourbeuses mésotrophiles, des eaux stagnantes ou à battement vertical","7-8","","","","","","","","X","X","","","",""
"101217","Helosciadium crassipes W.D.J.Koch, 1824","Ache à pédicelles épais, Ache de Corse, Hélosciadie à pied épais","FORT","-","parvogéophytaies amphibies, oligotrophiles, euryméditerranéennes","4-6","","","","","X","X","X","","","","","",""
"101223","Helosciadium repens (Jacq.) W.D.J.Koch, 1824","Ache rampante, Hélosciadie rampante","FORT","PN","parvogéophytaies amphibies exondables, oligotrophiles, atlantiques, planitiaires-collinéennes, acidophiles, des grèves sablonneuses ou tourbeuses","7-9","","","","","","","","X","X","X","","",""
"109861","Oenanthe aquatica (L.) Poir., 1798","Œnanthe aquatique, Œnanthe phellandre","TRES FORT","PR","herbiers aquatiques, vivaces, enracinés, des eaux douces, courantes, peu profondes","7-9","","","","","","","","X","X","X","","",""
"109861","Oenanthe aquatica (L.) Poir., 1798","Œnanthe aquatique, Œnanthe phellandre","TRES FORT","PR","parvoroselières médio-européennes pionnières","7-9","","","","","","","","X","X","X","","",""
"109869","Oenanthe fistulosa L., 1753","Œnanthe fistuleuse","FORT","-","prairies hydrophiles européennes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"109870","Oenanthe fluviatilis (Bab.) Coleman, 1844","Œnanthe des rivières, Œnanthe des fleuves, Œnanthe des eaux courantes","MODERE","-","herbiers aquatiques, vivaces, enracinés, des eaux douces, courantes, peu profondes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"109871","Oenanthe foucaudii Tess., 1884","Œnanthe de Foucaud","DD","PN","mégaphorbiaies planitiaires oligohalines, des estuaires atlantiques et salines continentales","7-9","","","","","","","","X","X","X","","",""
"109874","Oenanthe globulosa L., 1753","Œnanthe globuleuse, Œnanthe à fruit globuleux","TRES FORT","-","prairies hydrophiles, méditerranéennes, sublittorales","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"109898","Oenanthe silaifolia M.Bieb., 1819","Œnanthe à feuilles de silaüs, Œnanthe intermédiaire","MODERE","-","prairies hygrophiles fauchées, méditerranéo-atlantiques, glycophiles à subhalophiles","6-7","","","","","","","X","X","","","","",""
"123960","Sium latifolium L., 1753","Sium à feuilles larges, Sium à larges feuilles, Berle à larges feuilles, Grande berle, Berle à feuilles larges","TRES FORT","-","parvoroselières médio-européennes pionnières","7-9","","","","","","","","X","X","X","","",""
"113577","Pimpinella lutea Desf., 1798","Boucage jaune, Pimpinelle jaune","MODERE","PN","friches vivaces rudérales méditerranéennes occidentales à centrales, mésohydriques à mésoxérophiles","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"113586","Pimpinella peregrina L., 1753","Boucage voyageur, Pimpinelle voyageuse","MODERE","-","friches vivaces mésoxérophiles européennes","6-7","","","","","","","X","X","","","","",""
"113597","Pimpinella siifolia Leresche, 1879","Boucage à feuilles de berle, Pimpinelle à feuilles de sium","MODERE","PN",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"113346","Physospermum cornubiense (L.) DC., 1830","Physosperme de Cornouailles, Physospermum de Cornouailles, Ligustique de Cornouailles","FAIBLE","PN","mégaphorbiaies subalpines, hygrophiles mésotrophiles, corso-sardes","6-8","","","","","","","X","X","X","","","",""
"132330","Bunium alpinum subsp. corydalinum (DC.) Nyman, 1879","Bunium corydale","MODERE","-","pelouses acidophiles supraméditerranéennes, corso-sardes","5-7","","","","","","X","X","X","","","","",""
"123785","Sison segetum L., 1753","Sison des moissons, Berle des blés, Persil des moissons","TRES FORT","-","annuelles commensales des cultures sarclées acidophiles, mésohygrophiles, des sols limoneux","7-9","","","","","","","","X","X","X","","",""
"90335","Chaerophyllum elegans Gaudin, 1828","Cerfeuil élégant, Chérophylle élégant","FORT","-","mégaphorbiaies subalpines d'Europe occidentale","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"90344","Chaerophyllum nodosum (L.) Crantz, 1767","Cerfeuil noueux, Faux myrrhis noueux","FORT","PR","ourlets thérophytiques vernaux, nitrophiles, méso- à subméditerranéens","5-6","","","","","","X","X","","","","","",""
"133732","Daucus carota subsp. commutatus (Paol.) Thell., 1926","Carotte changeante, Carotte variable","FORT","-","friches vivaces mésoxérophiles européennes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"133733","Daucus carota subsp. drepanensis (Arcang.) Heywood, 1968","Carotte de Trapani","MODERE","-","pelouses aérohalines des falaises maritimes méditerranéennes","6-8","","","","","","","X","X","X","","","",""
"133735","Daucus carota subsp. gadecaei (Rouy & E.G.Camus) Heywood, 1968","Carotte de Gadeceau","DD","PN","pelouses aérohalines fermées, des hauts de falaises maritimes atlantiques mieux protégés, souvent sur des replats","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"133736","Daucus carota subsp. gummifer (Syme) Hook.f., 1884","Carotte à gomme","MODERE","-","pelouses aérohalines fermées, des hauts de falaises maritimes atlantiques mieux protégés, souvent sur des replats","6-8","","","","","","","X","X","X","","","",""
"133737","Daucus carota subsp. hispanicus (Gouan) Thell., 1926","Carotte d'Espagne","MODERE","-","pelouses aérohalines méditerranéennes, catalano-provençales","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"95844","Elaeoselinum meoides (Desf.) Koch ex DC., 1830","Éléosélin faux méum, Éléosélin faux baudremoine","FORT","-","chasmophytes de parois européennes et murs eutrophiles","6-7","","","","","","","X","X","","","","",""
"98014","Ferula arrigonii Bocchieri, 1989","Férule d'Arrigoni","TRES FORT","-","friches thermo à mésoméditerranéen jusqu'à subméditerranéen","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"105055","Laser trilobum (L.) Borkh. ex G.Gaertn., B.Mey. & Scherb., 1799","Laser trilobé, Laser à feuilles à trois lobes","MODERE","PN","ourlets externes basophiles médio-européens, mésoxérophiles, orientaux","6-8","","","","","","","X","X","X","","","",""
"137101","Laserpitium halleri subsp. cynapiifolium (Viv. ex DC.) P.Fourn., 1937","Laserpitium à feuilles d'éthuse, Laser à feuilles d'éthuse, Laser de Corse, Laser à feuilles de petite ciguë","MODERE","-","lithophytes des replats de falaises européennes, acidophiles, subalpines-alpines, corso-sardes","6-8","","","","","","","X","X","X","","","",""
"116210","Pseudorlaya pumila (L.) Grande, 1925","Faux orlaya nain, Fausse girouille des sables, Orlaya nain, Orlaya maritime","TRES FORT","PN","annuelles des tonsures basophiles, sabulicoles, maritimes, thermoméditerranéennes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"116210","Pseudorlaya pumila (L.) Grande, 1925","Faux orlaya nain, Fausse girouille des sables, Orlaya nain, Orlaya maritime","TRES FORT","PN","annuelles des tonsures basophiles, sabulicoles, maritimes, thermoméditerranéennes","4-6","","","","","X","X","X","","","","","",""
"613123","Pseudorlaya pumila var. pumila (L.) Grande, 1925","Faux orlaya nain, Fausse girouille des sables, Orlaya nain, Orlaya maritime","DD","PN",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"718758","Pseudorlaya pumila var. microcarpa (Loret & Barrandon) Reduron, 2008","Faux orlaya à petits fruits","DD","PN",,"1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"118900","Rouya polygama (Desf.) Coincy, 1901","Rouya polygame, Thapsie de Rouy, Thapsie polygame","TRES FORT","PN","végétation vivace des arrière-dunes maritimes subfixées, méditerranéennes occidentales","6-8","","","","","","","X","X","X","","","",""
"121455","Scandix stellata Banks & Sol., 1794","Scandix étoilé","TRES FORT","PN","annuelles des tonsures basophiles, aéromésohydriques, méso à subméditerranéennes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"127988","Turgenia latifolia (L.) Hoffm., 1814","Turgénie à feuilles larges, Turgénie à larges feuilles, Tordyle à feuilles larges, Caucalis à feuilles larges, Caucalide à feuilles larges","FORT","-","annuelles commensales des moissons basophiles, mésothermes","5-8","","","","","","X","X","X","X","","","",""
"82715","Angelica heterocarpa J.Lloyd, 1859","Angélique à fruits variés, Angélique à fruits variables","FAIBLE","PN","mégaphorbiaies planitiaires oligohalines, des estuaires atlantiques et salines continentales","7-8","","","","","","","","X","X","","","",""
"96079","Endressia pyrenaica (J.Gay ex DC.) J.Gay, 1832","Endressie des Pyrénées","MODERE","-","pelouses acidophiles alpino-pyrénéennes climaciques, chionophobes","8-9","","","","","","","","","X","X","","",""
"104440","Kadenia dubia (Schkuhr) Lavrova & V.N.Tikhom., 1986","Kadénie douteuse, Sélin douteux, Sélin veiné","TRES FORT","-","prairies hydrophiles, centro-européennes","1-12","ajout floraison (1-12)","X","X","X","X","X","X","X","X","X","X","X","X"
"112874","Peucedanum paniculatum Loisel., 1807","Peucédan paniculé, Peucédan de Corse","MODERE","-","pelouses acidophiles méditerranéennes","8-9","","","","","","","","","X","X","","",""
"122329","Selinum carvifolia (L.) L., 1762","Sélin à feuilles de carvi","TRES FORT","-","moliniaies des prés paratourbeux médio-européens, basophiles","7-9","","","","","","","","X","X","X","","",""
